Company,Url,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
Cambridge Bio-Augmentation,https://angel.co/company/cambridge-bio-augmentation-systems-1,,,,,,,,
Pit.AI Technologies,https://angel.co/company/pitaitechnologies,Seed,"$1,500,000",,Jan ’15,Baltimore,Mobile Payments,blispay.com,11-50
Earth Energy Power Snacks,https://angel.co/company/earth-energy-power-snacks,,,,,,,,
Check,https://angel.co/company/check-3,,Jan ’15,New York City,Beauty,brainchild.co,11-50,-,-
rocketship.vc,https://angel.co/company/rocketship-vc,,,,,,,,
Wootric,https://angel.co/company/wootric,Los Angeles,Crowdsourcing,arsenic.tv,,Seed,"$3,650,000",,Feb ’16
Kickback,https://angel.co/company/kickback,,,,,,,,
Cloudstitch,https://angel.co/company/cloudstitch,-,-,Series B,"$55,200,000",,Mar ’17,Redwood City,Restaurants
Vita-Mix,https://angel.co/company/vita-mix,,,,,,,,
KohFounders,https://angel.co/company/kohfounders,Seed,"$6,300,000",,Mar ’17,New York City,-,titan-partners.com,
Carbon Robotics,https://angel.co/company/carbon-robotics,,,,,,,,
Snowball,https://angel.co/company/snowball-2,,Apr ’17,San Francisco,-,lvl5.ai,11-50,Acquired,-
Zensight,https://angel.co/company/zensight,,,,,,,,
SUNDAR,https://angel.co/company/sundar-6,San Francisco,-,,,-,-,,Apr ’17
HOOKED,https://angel.co/company/hookedapp,,,,,,,,
Reveal,https://angel.co/company/reveal-4,wppventures.com,,-,-,,May ’17,San Francisco,Insurance
BBG Ventures,https://angel.co/company/bbg-ventures,,,,,,,,
YesPath,https://angel.co/company/yespath,-,-,,May ’17,San Francisco,Location Based Services,prefer.com,11-50
Silversheet,https://angel.co/company/silversheet,,,,,,,,
SIZZLE,https://angel.co/company/onsizzle,,Sep ’11,Boston,Open Source,acquia.com,501-1000,,"$173,500,000"
